scope_slug,team_slug,day,editor,model,chat_turns,chat_copy_events,chat_insertion_events,chat_engaged_users
acme-corp,backend-team,2025-02-01,VSCode,gpt-4,45,28,17,6
acme-corp,backend-team,2025-02-01,JetBrains,gpt-4,38,24,14,5
acme-corp,backend-team,2025-02-02,VSCode,gpt-4,52,33,19,7
acme-corp,backend-team,2025-02-02,JetBrains,gpt-4,44,28,16,6
acme-corp,frontend-team,2025-02-01,VSCode,gpt-4,67,42,25,8
acme-corp,frontend-team,2025-02-01,WebStorm,gpt-4,34,21,13,4
acme-corp,frontend-team,2025-02-02,VSCode,gpt-4,78,49,29,9
acme-corp,frontend-team,2025-02-02,WebStorm,gpt-4,41,26,15,5
acme-corp,devops-team,2025-02-01,VSCode,gpt-4,23,14,9,3
acme-corp,devops-team,2025-02-02,VSCode,gpt-4,28,18,10,4
acme-corp,data-science,2025-02-01,Jupyter,gpt-4,56,35,21,6
acme-corp,data-science,2025-02-01,PyCharm,gpt-4,48,30,18,5
acme-corp,data-science,2025-02-02,Jupyter,gpt-4,64,40,24,7
acme-corp,data-science,2025-02-02,PyCharm,gpt-4,52,33,19,6
acme-corp,mobile-team,2025-02-01,Xcode,gpt-4,34,21,13,4
acme-corp,mobile-team,2025-02-01,AndroidStudio,gpt-4,28,18,10,3
acme-corp,mobile-team,2025-02-02,Xcode,gpt-4,41,26,15,5
acme-corp,mobile-team,2025-02-02,AndroidStudio,gpt-4,36,23,13,4
