scope_slug,team_slug,day,editor,model,language,engaged_users,suggestions_count,acceptances_count,lines_suggested,lines_accepted
acme-corp,backend-team,2025-02-01,VSCode,gpt-4,Python,8,234,156,892,598
acme-corp,backend-team,2025-02-01,VSCode,gpt-4,JavaScript,6,178,124,634,442
acme-corp,backend-team,2025-02-01,VSCode,gpt-4,Go,4,145,108,512,384
acme-corp,backend-team,2025-02-01,JetBrains,gpt-4,Java,5,198,142,705,494
acme-corp,backend-team,2025-02-01,JetBrains,gpt-4,Python,7,216,151,768,538
acme-corp,backend-team,2025-02-02,VSCode,gpt-4,Python,9,267,189,952,686
acme-corp,backend-team,2025-02-02,VSCode,gpt-4,JavaScript,7,201,142,715,500
acme-corp,backend-team,2025-02-02,VSCode,gpt-4,Go,5,168,126,597,448
acme-corp,backend-team,2025-02-02,JetBrains,gpt-4,Java,6,221,159,786,551
acme-corp,backend-team,2025-02-02,JetBrains,gpt-4,Python,8,245,172,872,611
acme-corp,frontend-team,2025-02-01,VSCode,gpt-4,JavaScript,7,312,223,1108,794
acme-corp,frontend-team,2025-02-01,VSCode,gpt-4,TypeScript,5,234,168,833,597
acme-corp,frontend-team,2025-02-01,VSCode,gpt-4,CSS,3,89,67,245,185
acme-corp,frontend-team,2025-02-01,WebStorm,gpt-4,JavaScript,4,198,142,704,506
acme-corp,frontend-team,2025-02-02,VSCode,gpt-4,JavaScript,8,345,248,1228,882
acme-corp,frontend-team,2025-02-02,VSCode,gpt-4,TypeScript,6,267,192,950,684
acme-corp,frontend-team,2025-02-02,VSCode,gpt-4,CSS,4,112,85,308,234
acme-corp,frontend-team,2025-02-02,WebStorm,gpt-4,JavaScript,5,223,160,794,571
acme-corp,devops-team,2025-02-01,VSCode,gpt-4,YAML,2,67,48,189,136
acme-corp,devops-team,2025-02-01,VSCode,gpt-4,Shell,3,145,103,408,291
acme-corp,devops-team,2025-02-01,VSCode,gpt-4,HCL,2,98,71,278,200
acme-corp,devops-team,2025-02-02,VSCode,gpt-4,YAML,3,89,64,251,181
acme-corp,devops-team,2025-02-02,VSCode,gpt-4,Shell,4,178,127,502,358
acme-corp,devops-team,2025-02-02,VSCode,gpt-4,HCL,2,123,88,348,250
acme-corp,data-science,2025-02-01,Jupyter,gpt-4,Python,6,289,206,1028,734
acme-corp,data-science,2025-02-01,PyCharm,gpt-4,Python,5,234,167,833,594
acme-corp,data-science,2025-02-01,VSCode,gpt-4,Python,4,178,127,634,453
acme-corp,data-science,2025-02-02,Jupyter,gpt-4,Python,7,321,229,1143,816
acme-corp,data-science,2025-02-02,PyCharm,gpt-4,Python,6,267,191,950,680
acme-corp,data-science,2025-02-02,VSCode,gpt-4,Python,5,201,143,715,511
acme-corp,mobile-team,2025-02-01,Xcode,gpt-4,Swift,4,178,127,634,453
acme-corp,mobile-team,2025-02-01,AndroidStudio,gpt-4,Kotlin,3,145,103,516,369
acme-corp,mobile-team,2025-02-01,VSCode,gpt-4,TypeScript,2,89,64,317,227
acme-corp,mobile-team,2025-02-02,Xcode,gpt-4,Swift,5,201,143,715,511
acme-corp,mobile-team,2025-02-02,AndroidStudio,gpt-4,Kotlin,4,178,127,634,453
acme-corp,mobile-team,2025-02-02,VSCode,gpt-4,TypeScript,3,112,80,399,286
