created_at,updated_at,last_activity_at,last_activity_editor,assignee_login,assignee_type,assigning_team_slug,scope_slug,snapshot_day
2024-12-01T08:30:00Z,2025-02-10T16:45:00Z,2025-02-10T16:45:00Z,VSCode,alice.johnson,User,backend-team,acme-corp,2025-02-10
2024-12-02T09:15:00Z,2025-02-10T14:20:00Z,2025-02-10T14:20:00Z,JetBrains,bob.smith,User,backend-team,acme-corp,2025-02-10
2024-12-03T10:00:00Z,2025-02-10T11:30:00Z,2025-02-10T11:30:00Z,VSCode,charlie.davis,User,backend-team,acme-corp,2025-02-10
2024-12-04T11:20:00Z,2025-02-10T09:15:00Z,2025-02-10T09:15:00Z,VSCode,diana.miller,User,frontend-team,acme-corp,2025-02-10
2024-12-05T13:45:00Z,2025-02-09T18:00:00Z,2025-02-09T18:00:00Z,WebStorm,evelyn.brown,User,frontend-team,acme-corp,2025-02-10
2024-12-06T14:30:00Z,2025-02-10T13:00:00Z,2025-02-10T13:00:00Z,VSCode,frank.garcia,User,frontend-team,acme-corp,2025-02-10
2024-12-07T15:45:00Z,2025-02-10T10:45:00Z,2025-02-10T10:45:00Z,VSCode,grace.lee,User,backend-team,acme-corp,2025-02-10
2024-12-08T16:20:00Z,2025-02-10T15:30:00Z,2025-02-10T15:30:00Z,VSCode,henry.wilson,User,devops-team,acme-corp,2025-02-10
2024-12-09T17:00:00Z,2025-02-08T12:00:00Z,2025-02-08T12:00:00Z,VSCode,iris.martinez,User,devops-team,acme-corp,2025-02-10
2024-12-10T08:30:00Z,2025-02-10T16:00:00Z,2025-02-10T16:00:00Z,Jupyter,jack.anderson,User,data-science,acme-corp,2025-02-10
2024-12-11T09:15:00Z,2025-02-10T14:30:00Z,2025-02-10T14:30:00Z,PyCharm,kevin.taylor,User,data-science,acme-corp,2025-02-10
2024-12-12T10:00:00Z,2025-02-10T11:00:00Z,2025-02-10T11:00:00Z,VSCode,laura.thomas,User,data-science,acme-corp,2025-02-10
2024-12-13T11:20:00Z,2025-02-10T09:45:00Z,2025-02-10T09:45:00Z,Xcode,mike.jackson,User,mobile-team,acme-corp,2025-02-10
2024-12-14T13:45:00Z,2025-02-10T15:15:00Z,2025-02-10T15:15:00Z,AndroidStudio,nancy.white,User,mobile-team,acme-corp,2025-02-10
2024-12-15T14:30:00Z,2025-02-10T13:30:00Z,2025-02-10T13:30:00Z,VSCode,oscar.harris,User,mobile-team,acme-corp,2025-02-10
2024-12-16T15:45:00Z,2024-12-20T10:00:00Z,,VSCode,patricia.clark,User,backend-team,acme-corp,2025-02-10
2024-12-17T16:20:00Z,2025-01-05T14:00:00Z,2025-01-05T14:00:00Z,VSCode,quinn.lewis,User,frontend-team,acme-corp,2025-02-10
2024-12-18T17:00:00Z,2024-12-19T09:00:00Z,,JetBrains,rachel.walker,User,backend-team,acme-corp,2025-02-10
2024-12-19T08:30:00Z,2025-02-10T17:00:00Z,2025-02-10T17:00:00Z,VSCode,samuel.young,User,frontend-team,acme-corp,2025-02-10
2024-12-20T09:15:00Z,2025-02-10T12:15:00Z,2025-02-10T12:15:00Z,VSCode,tina.king,User,devops-team,acme-corp,2025-02-10
