team_slug,day,total_active_users,scope_slug
backend-team,2025-02-01,12,acme-corp
backend-team,2025-02-02,14,acme-corp
backend-team,2025-02-03,13,acme-corp
backend-team,2025-02-04,15,acme-corp
backend-team,2025-02-05,12,acme-corp
backend-team,2025-02-06,11,acme-corp
backend-team,2025-02-07,14,acme-corp
backend-team,2025-02-08,16,acme-corp
backend-team,2025-02-09,15,acme-corp
backend-team,2025-02-10,14,acme-corp
frontend-team,2025-02-01,8,acme-corp
frontend-team,2025-02-02,9,acme-corp
frontend-team,2025-02-03,9,acme-corp
frontend-team,2025-02-04,10,acme-corp
frontend-team,2025-02-05,8,acme-corp
frontend-team,2025-02-06,7,acme-corp
frontend-team,2025-02-07,9,acme-corp
frontend-team,2025-02-08,10,acme-corp
frontend-team,2025-02-09,9,acme-corp
frontend-team,2025-02-10,8,acme-corp
devops-team,2025-02-01,5,acme-corp
devops-team,2025-02-02,5,acme-corp
devops-team,2025-02-03,5,acme-corp
devops-team,2025-02-04,6,acme-corp
devops-team,2025-02-05,5,acme-corp
devops-team,2025-02-06,4,acme-corp
devops-team,2025-02-07,5,acme-corp
devops-team,2025-02-08,6,acme-corp
devops-team,2025-02-09,6,acme-corp
devops-team,2025-02-10,5,acme-corp
data-science,2025-02-01,7,acme-corp
data-science,2025-02-02,8,acme-corp
data-science,2025-02-03,7,acme-corp
data-science,2025-02-04,8,acme-corp
data-science,2025-02-05,7,acme-corp
data-science,2025-02-06,6,acme-corp
data-science,2025-02-07,7,acme-corp
data-science,2025-02-08,8,acme-corp
data-science,2025-02-09,7,acme-corp
data-science,2025-02-10,6,acme-corp
mobile-team,2025-02-01,6,acme-corp
mobile-team,2025-02-02,7,acme-corp
mobile-team,2025-02-03,6,acme-corp
mobile-team,2025-02-04,7,acme-corp
mobile-team,2025-02-05,6,acme-corp
mobile-team,2025-02-06,5,acme-corp
mobile-team,2025-02-07,6,acme-corp
mobile-team,2025-02-08,7,acme-corp
mobile-team,2025-02-09,6,acme-corp
mobile-team,2025-02-10,5,acme-corp
