user_login,day,code_generation_activity_count,code_acceptance_activity_count,used_chat,used_agent,scope_slug,snapshot_day
alice.johnson,2025-02-10,42,28,1,0,acme-corp,2025-02-10
bob.smith,2025-02-10,35,24,1,0,acme-corp,2025-02-10
charlie.davis,2025-02-10,39,26,1,0,acme-corp,2025-02-10
diana.miller,2025-02-10,51,38,1,1,acme-corp,2025-02-10
evelyn.brown,2025-02-10,47,35,1,1,acme-corp,2025-02-10
frank.garcia,2025-02-10,43,31,1,0,acme-corp,2025-02-10
grace.lee,2025-02-10,38,27,0,0,acme-corp,2025-02-10
henry.wilson,2025-02-10,28,19,0,0,acme-corp,2025-02-10
iris.martinez,2025-02-10,32,22,1,0,acme-corp,2025-02-10
jack.anderson,2025-02-10,55,41,1,1,acme-corp,2025-02-10
kevin.taylor,2025-02-10,48,36,1,1,acme-corp,2025-02-10
laura.thomas,2025-02-10,44,33,1,0,acme-corp,2025-02-10
mike.jackson,2025-02-10,36,26,0,0,acme-corp,2025-02-10
nancy.white,2025-02-10,41,30,1,0,acme-corp,2025-02-10
oscar.harris,2025-02-10,38,28,1,0,acme-corp,2025-02-10
samuel.young,2025-02-10,46,34,1,0,acme-corp,2025-02-10
tina.king,2025-02-10,25,17,0,0,acme-corp,2025-02-10
